2020-04-29T14:15:13.367, i=0
2020-04-29T14:16:10.546, i=100
2020-04-29T14:16:12.411, i=200
2020-04-29T14:16:13.562+0900: [GC (Allocation Failure) [PSYoungGen: 65536K->10732K(76288K)] 65536K->13457K(251392K), 0.0186988 secs] [Times: user=0.01 sys=0.01, real=0.02 secs] 
2020-04-29T14:16:13.584, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@7b342801)
2020-04-29T14:16:13.585, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@3e36a903)
2020-04-29T14:16:13.587, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@2d72b27f)
2020-04-29T14:16:13.587, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@f42d68a)
2020-04-29T14:16:13.587, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@55ec9343)
2020-04-29T14:16:13.588, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@5e19564c)
2020-04-29T14:16:13.588, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@66c0e6ba)
2020-04-29T14:16:13.588, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@7faf8a6e)
2020-04-29T14:16:13.588, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@4ee87853)
2020-04-29T14:16:13.589, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@5a57ecf4)
2020-04-29T14:16:13.589, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@3b432432)
2020-04-29T14:16:13.589, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@38bc35ce)
2020-04-29T14:16:13.589, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@359be86a)
2020-04-29T14:16:13.590, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@504e8261)
2020-04-29T14:16:13.590, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@728e5eee)
2020-04-29T14:16:13.590, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@2bc51734)
2020-04-29T14:16:13.590, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@4177629e)
2020-04-29T14:16:13.590, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@650ead5b)
2020-04-29T14:16:13.590, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@65f7e63a)
2020-04-29T14:16:13.590, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@66082107)
2020-04-29T14:16:13.591, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@1c11ccca)
2020-04-29T14:16:13.591, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@ce5ce66)
2020-04-29T14:16:13.591, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@56f93ff6)
2020-04-29T14:16:13.591, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@715e3c37)
2020-04-29T14:16:13.591, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@633bd94a)
2020-04-29T14:16:13.591, Thread=Finalizer(3), finalizer called(echoview.sample.ConsoleAppMain$1@418fbdb5)
